start,end,date,deviceid,end_survey,audit,enumerator_id,province,district,village,settlement_name,iset_code,aggregate,location,intro,consent,ki_gender,ki_age,popn_note,iset_population,migrant_population,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,migrant_population.economic,migrant_population.nomad,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,idp_3mo_hhs,idp_prov_origin,idp_dist_origin,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,returnee_origin,returnee_paki_prov,returnee_iran_prov,returnee_3mo_hhs,recentreturn_challenge,recentreturn_challenge.country_return,recentreturn_challenge.age,recentreturn_challenge.health,recentreturn_challenge.other,recentreturn_challenge.none,recentreturn_challenge_other,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,vuln_note,disability,chronic_ill,elderly,female_hoh,ethnic_groups,ethnic_groups.aimaq,ethnic_groups.arab,ethnic_groups.baloch,ethnic_groups.hazara,ethnic_groups.nuristani,ethnic_groups.jat,ethnic_groups.jogi,ethnic_groups.pashtun,ethnic_groups.pashayee,ethnic_groups.tajik,ethnic_groups.turkmen,ethnic_groups.uzbek,ethnic_groups.other,ethnic_groups_other,five_years,relocate_plan,relocate_pushpull,relocate_pushpull.intimidate,relocate_pushpull.land_dispute,relocate_pushpull.no_work,relocate_pushpull.join_family,relocate_pushpull.better_security,relocate_pushpull.better_service,relocate_pushpull.other,relocate_pushpull.better_job,relocate_pushpull_other,covid_note,covid_aware,covid_concern,covid_prevent,covid_info,covid_info.government,covid_info.comm_leader,covid_info.un_ngo,covid_info.media,covid_info.text,covid_info.health_worker,covid_info.fam_friend,covid_info.other,covid_info_other,covid_safeprac,covid_safeprac.handwash,covid_safeprac.distancing,covid_safeprac.isolate,covid_safeprac.masks_ifsick,covid_safeprac.masks,covid_safeprac.no_face,covid_safeprac.no_gather,covid_safeprac.other,covid_safeprac.none,covid_safeprac_other,covid_action,covid_action.none,covid_action.stay_home,covid_action.isolate,covid_action.self_meds,covid_action.speak_leader,covid_action.pharm_hosp,covid_action.trad_healer,covid_action.other,covid_action.dont_know,covid_action_other,covid_discriminate,covid_discriminate.females,covid_discriminate.males,covid_discriminate.children,covid_discriminate.elderly,covid_discriminate.chronic_ill,covid_discriminate.disabled,covid_discriminate.returnee,covid_discriminate.minorities,covid_discriminate.other,covid_discriminate.none,covid_discriminate_other,discrimate_result,discrimate_result.evicted_hh,discrimate_result.evicted_iset,discrimate_result.denied_finance,discrimate_result.denied_services,discrimate_result.harrass_verbal,discrimate_result.harass_physical,discrimate_result.domestic_abuse,discrimate_result.other,discrimate_result_other,wash_note,water_point,water_point_no,tap_sanitize,wash_gbv,handwash_location,handwash_location.private,handwash_location.public_facility,handwash_location.public,handwash_location.open,handwash_location.other,handwash_location_other,handwash_device,handwash_device_other,soap_avail,time_handwash_meal,time_handwash_toilet,time_handwash_return,handwash_crowded,water_distance,water_source,water_source_other,water_barrier,water_barrier.busy,water_barrier.unpleasent,water_barrier.low_capacity,water_barrier.unsafe,water_barrier.distance,water_barrier.expensive,water_barrier.other,water_barrier.none,water_barrier_other,water_barrier_group,water_barrier_who,water_barrier_who.females,water_barrier_who.males,water_barrier_who.children,water_barrier_who.elderly,water_barrier_who.chronic_ill,water_barrier_who.disabled,water_barrier_who.returnee,water_barrier_who.minorities,water_barrier_who.other,water_barrier_who.none,water_barrier_who_other,health_note,health_distance,health_inaccess,health_inaccess.pharmacy,health_inaccess.travel,health_inaccess.trad_healer,health_inaccess.none,health_inaccess.other,health_inaccess_other,inaccess_distance,health_gbv,health_use_recent,health_use_satisfy,health_use_unsatisfy,health_use_unsatisfy.hours,health_use_unsatisfy.expensive,health_use_unsatisfy.drug_unavail,health_use_unsatisfy.staff_behave,health_use_unsatisfy.crowded,health_use_unsatisfy.other,health_use_unsatisfy.dont_know,health_use_unsatisfy.prefer_not,health_use_unsatisfy_other,health_barrier,health_barrier.where_confuse,health_barrier.cost_transport,health_barrier.cost_treat,health_barrier.cost_drugs,health_barrier.culture,health_barrier.safety,health_barrier.travel_time,health_barrier.centre_capacity,health_barrier.denied,health_barrier.other,health_barrier.none,health_barrier_other,health_barrier_group,health_barrier_who,health_barrier_who.females,health_barrier_who.males,health_barrier_who.children,health_barrier_who.elderly,health_barrier_who.chronic_ill,health_barrier_who.disabled,health_barrier_who.returnee,health_barrier_who.minorities,health_barrier_who.other,health_barrier_who.none,health_barrier_who_other,covid_coping,covid_coping.withdraw,covid_coping.angry,covid_coping.risky_behave,covid_coping.physical_ache,covid_coping.substance,covid_coping.none,covid_coping.other,covid_coping_other,mhpss_aware,mhpss_services,mhpss_services.comm_leader,mhpss_services.ngo,mhpss_services.comm_group,mhpss_services.clinical,mhpss_services.referrals,mhpss_services.other,mhpss_services_other,mhpss_use,mhpss_use_why,mhpss_use_why.service_hose,mhpss_use_why.treatment_iset,mhpss_use_why.staff_behave,mhpss_use_why.crowded,mhpss_use_why.other,mhpss_use_why.dont_know,mhpss_use_why.prefer_not,mhpss_use_why_other,mhpss_secondary,mhpss_secondary.more_gbv,mhpss_secondary.more_poverty,mhpss_secondary.health_issue,mhpss_secondary.comm_violence,mhpss_secondary.more_insecure,mhpss_secondary.no_ngo_access,mhpss_secondary.other,mhpss_secondary.none,mhpss_secondary_other,protection_note,safe_likert,safety_change,safety_gbv,move_free_m,move_why_m,move_why_m.harrass,move_why_m.culture_barrier,move_why_m.covid,move_why_m.no_document,move_why_m.unsafe,move_why_m.debt,move_why_m.other,move_why__m_other,move_free_f,move_why_f,move_why_f.harrass,move_why_f.culture_barrier,move_why_f.covid,move_why_f.no_document,move_why_f.unsafe,move_why_f.debt,move_why_f.other,move_why_f_other,host_relation,relocation,host_dispute,host_dispute_other,comm_represent,site_land,site_land_owner,site_land_owner_other,rent,eviction,eviction_why,eviction_why.rent,eviction_why.dispute_rent,eviction_why.dispute_own,eviction_why.dispute_other,eviction_why.dispute_host,eviction_why.private,eviction_why.other,eviction_why_other,eviction_threat,eviction_threat_other,eviction_threat_why,eviction_threat_why.local_auth,eviction_threat_why.government,eviction_threat_why.host_comm,eviction_threat_why.other,eviction_threat_why_other,shelter_note,shelter_type,shelter_type_other,accom,accom_other,tenure,tenure_written,tenure_written_other,hh_rooms,covid_shelter,covid_shelter_other,covid_sitespace,sim_card,fsl_note,livelihood,livelihood_other,work_change,unemploy_coping,unemploy_coping.spend_saving,unemploy_coping.sell_asset,unemploy_coping.borrow_debt,unemploy_coping.non_food_spend,unemploy_coping.rely_aid,unemploy_coping.sell_aid,unemploy_coping.begging,unemploy_coping.other,unemploy_coping.dont_know,unemploy_coping_other,market_walking,market_soldout,soldout_item,soldout_item.food,soldout_item.soap,soldout_item.hygiene,soldout_item.fuel,soldout_item.construct_mat,soldout_item.clothing,soldout_item.tarpaulin,soldout_item.buckets_hose,soldout_item.kitchen_mat,soldout_item.blanket,soldout_item.other,soldout_item_other,food_source,food_source.ngo,food_source.market_inside,food_source.market_outsided,food_source.own_production,food_source.family,food_source.other,food_source.dont_know,food_source_other,food_access,aid_provided,aid_type,aid_type.education,aid_type.food,aid_type.health,aid_type.livelihoods,aid_type.wash,aid_type.protection,aid_type.shelter,aid_type.nfi,aid_type.winter,aid_type.other,aid_type.cash,aid_type_other,aid_govt,aid_services,aid_services_other,edu_note,school_distance,school_closed,school_alternatives,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know,school_alt_other,thankyou,village_other,enumerator_uuid,iset_indvl,iset_hhs,gbv_incident,_id,_uuid,_submission_time,_validation_status,_index
2020-05-18T08:37:15.745+04:30,2020-05-18T09:48:53.757+04:30,43969,3.59775E+14,2020-05-18T09:48:53.757+04:30,,8,badakhshan,faiz_abad_badakhshan,District 2,afzal abad,BAD_001,,suburb,,yes,male,30_39,,mixed,idp protract economic,1,0,1,0,0,1,0,170,600,,,70,200,50,badakhshan,yamgan,,,,,,,,,,,,,,,,170,600,,,350,1300,,20,20,150,60,tajik uzbek,0,0,0,0,0,0,0,0,0,1,0,1,0,,no,no,,,,,,,,,,,,yes,yes,yes,media text,0,0,0,1,1,0,0,0,,masks isolate handwash,1,0,1,0,1,0,0,0,0,,none,1,0,0,0,0,0,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,yes,2,no,yes,private,1,0,0,0,0,,,,yes,yes,yes,no,,yes,pipe,,busy unpleasent distance,1,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,no_further,,,,,,,,,yes,yes,no,crowded drug_unavail staff_behave,0,0,1,1,1,0,0,0,,cost_transport cost_drugs,0,1,0,1,0,0,0,0,0,0,0,,yes,chronic_ill,0,0,0,0,1,0,0,0,0,0,,angry,0,1,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,good,yes_increase,yes_increase,yes,,,,,,,,,,yes,,,,,,,,,,positive,no,comm_leader,,yes,yes,private,,yes,no,,,,,,,,,,no,,,,,,,,,mud,,own_document,,written,tenure_doc,,3,tools,,yes,yes,,unskilled,,full_stop,borrow_debt,0,0,1,0,0,0,0,0,0,,no_further,yes,food hygiene,1,0,1,0,0,0,0,0,0,0,0,,market_inside,0,1,0,0,0,0,0,,no,no,,,,,,,,,,,,,,no,,,,yes,yes,other_facility,1,0,0,0,0,,,,,,,,99399375,b4785a97-1c0d-4b7f-8763-d717a9dc0ab8,2020-05-18T11:42:28,,115
2020-06-01T13:32:44.658+04:30,2020-06-01T14:13:23.727+04:30,43983,3.59775E+14,2020-06-01T14:13:23.727+04:30,,8,badakhshan,faiz_abad_badakhshan,District 2,ahmad aabad,BAD_002,,suburb,,yes,male,18_29,,mixed,economic idp prolong protract,1,1,1,0,0,1,0,24,120,24,120,20,150,3,badakhshan,yaftal_e_sufla,,,,,,,,,,,,,,,,24,120,,,24,200,,8,10,40,18,tajik,0,0,0,0,0,0,0,0,0,1,0,0,0,,no,no,,,,,,,,,,,,yes,yes,yes,media text health_worker comm_leader,0,1,0,1,1,1,0,0,,isolate handwash,1,0,1,0,0,0,0,0,0,,none,1,0,0,0,0,0,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,no_none,,,,private,1,0,0,0,0,,,,yes,yes,yes,yes,,no_none,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,dont_know,yes,no,expensive drug_unavail staff_behave crowded,0,1,1,1,1,0,0,0,,cost_transport cost_treat centre_capacity,0,1,1,0,0,0,0,1,0,0,0,,yes,chronic_ill elderly children disabled,0,0,1,1,1,1,0,0,0,0,,angry,0,1,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,poor_qual,yes_increase,yes_increase,yes,,,,,,,,,,yes,,,,,,,,,,positive,yes,comm_leader,,yes,yes,private,,no,no,,,,,,,,,,no,,,,,,,,,mud,,free_permiss,,verbal,,,2,tools,,yes,yes,,unskilled,,part_stop,borrow_debt sell_asset,0,1,1,0,0,0,0,0,0,,yes,yes,food,1,0,0,0,0,0,0,0,0,0,0,,market_inside,0,1,0,0,0,0,0,,no,no,,,,,,,,,,,,,,yes,info_comm,,,yes,yes,no,0,0,0,1,0,,,,,,,,102412345,0558c4d1-7a45-44d2-950a-80106191f64a,2020-06-02T09:43:11,,764
2020-05-18T10:35:32.703+04:30,2020-05-18T11:46:09.283+04:30,43969,3.59775E+14,2020-05-18T11:46:09.283+04:30,,8,badakhshan,faiz_abad_badakhshan,District 6,imam abad,BAD_003,,suburb,,yes,male,50_59,,mixed,protract economic,0,0,1,0,0,1,0,,,,,500,3500,,,,,,,,,,,,,,,,,,,1500,3000,,,2500,18000,,300,200,500,150,tajik hazara uzbek,0,0,0,1,0,0,0,0,0,1,0,1,0,,yes,yes,no_work join_family better_security,0,0,1,1,1,0,0,0,,,yes,yes,yes,un_ngo media text,0,0,1,1,1,0,0,0,,handwash isolate masks_ifsick,1,0,1,1,0,0,0,0,0,,pharm_hosp,0,0,0,0,0,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,yes,2,no,yes,private public,1,0,1,0,0,,sink,,yes,yes,yes,yes,yes,yes,pump_public,,none,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,no_further,,,,,,,,,yes,yes,yes,,,,,,,,,,,centre_capacity cost_transport cost_drugs,0,1,0,1,0,0,0,1,0,0,0,,yes,returnee chronic_ill elderly,0,0,0,1,1,0,1,0,0,0,,angry,0,1,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,good,yes_increase,yes_decrease,yes,,,,,,,,,,yes,,,,,,,,,,positive,yes,police,,yes,yes,government,,yes,no,,,,,,,,,,no,,,,,,,,,mud,,own_document,,verbal,,,3,rent_isolate,,,yes,,unskilled,,full_stop,sell_asset borrow_debt,0,1,1,0,0,0,0,0,0,,no_further,yes,food hygiene,1,0,1,0,0,0,0,0,0,0,0,,family market_inside,0,1,0,0,1,0,0,,no,no,,,,,,,,,,,,,,no,,,,yes,no,,,,,,,,,,,,,,99399386,2b6485ff-a866-4983-83cd-47012bef388f,2020-05-18T11:42:29,,116
2020-06-03T14:11:04.169+04:30,2020-06-03T15:06:26.038+04:30,43985,3.55269E+14,2020-06-03T15:06:26.038+04:30,,3,badakhshan,faiz_abad_badakhshan,Nahia Awal,darah nagoha,BAD_004,,suburb,,yes,male,30_39,,mixed,idp prolong protract returnee,1,1,1,0,1,0,0,70,500,200,1400,830,4000,10,badakhshan,kohestan_badakhshan,,,15,55,iran,,fars,3,health,0,0,1,0,0,,,,,,80,1500,,20,4,400,20,tajik,0,0,0,0,0,0,0,0,0,1,0,0,0,,yes,yes,better_service no_work,0,0,1,0,0,1,0,0,,,yes,yes,yes,comm_leader media text,0,1,0,1,1,0,0,0,,handwash distancing no_gather,1,1,0,0,0,0,1,0,0,,speak_leader pharm_hosp,0,0,0,0,1,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,no_none,,,,private,1,0,0,0,0,,,,no,yes,dont_know,dont_know,,yes,surface,,unsafe,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,yes,yes,,,,,,,,,,,where_confuse cost_drugs,1,0,0,1,0,0,0,0,0,0,0,,no,,,,,,,,,,,,,none,0,0,0,0,0,1,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,neutral,no_change,no_change,yes,,,,,,,,,,yes,,,,,,,,,,positive,no,comm_leader,,yes,yes,private,,yes,no,,,,,,,,,,yes,,local_auth,1,0,0,0,,,brick,,own_no_document,,written,prefer_not,,2,tent,,yes,no,,unskilled,,full_stop,borrow_debt begging,0,0,1,0,0,0,1,0,0,,no_further,yes,food soap,1,1,0,0,0,0,0,0,0,0,0,,market_outsided,0,0,1,0,0,0,0,,no,no,,,,,,,,,,,,,,no,,,,yes,yes,no,0,0,0,1,0,,,,,,,,102623278,093bcd87-eeeb-4e05-b99d-982431a088df,2020-06-03T13:44:35,,860
2020-05-18T13:32:40.912+04:30,2020-05-18T14:22:05.056+04:30,43969,3.59775E+14,2020-05-18T14:22:05.056+04:30,,8,badakhshan,faiz_abad_badakhshan,District 1,dara anjiran,BAD_005,,suburb,,yes,male,40_49,,mixed,idp protract economic,1,0,1,0,0,1,0,40,140,,,20,140,15,badakhshan,arganj_khwah,,,,,,,,,,,,,,,,20,120,,,332,1600,,11,8,100,35,tajik pashtun,0,0,0,0,0,0,0,1,0,1,0,0,0,,no,no,,,,,,,,,,,,yes,yes,yes,media health_worker text,0,0,0,1,1,1,0,0,,handwash isolate,1,0,1,0,0,0,0,0,0,,none,1,0,0,0,0,0,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,no_further,,,,public private,1,0,1,0,0,,buckets_hose,,no,yes,yes,yes,no,no_further,trucking,,distance busy,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,no_further,,,,,,,,,yes,yes,no,drug_unavail expensive crowded,0,1,1,0,1,0,0,0,,cost_transport cost_treat centre_capacity,0,1,1,0,0,0,0,1,0,0,0,,yes,females males elderly chronic_ill returnee,1,1,0,1,1,0,1,0,0,0,,angry risky_behave,0,1,1,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,very_poor,yes_increase,yes_increase,no,unsafe,0,0,0,0,1,0,0,,no,harrass unsafe,1,0,0,0,1,0,0,,positive,yes,comm_leader,,yes,yes,private,,dont_know,no,,,,,,,,,,no,,,,,,,,,mud,,own_document,,written,tenure_doc,,3,tools,,yes,yes,,unskilled,,part_stop,sell_asset borrow_debt,0,1,1,0,0,0,0,0,0,,no_further,yes,food,1,0,0,0,0,0,0,0,0,0,0,,market_inside,0,1,0,0,0,0,0,,no,no,,,,,,,,,,,,,,yes,info_comm,,,no_none,,,,,,,,,,,,,,,99399409,142678f2-5527-4b7b-9537-2d5c3c06939b,2020-05-18T11:42:33,,118
2020-05-18T14:23:12.761+04:30,2020-05-18T14:50:16.661+04:30,43969,3.59775E+14,2020-05-18T14:50:16.661+04:30,,8,badakhshan,baharak_badakhshan,Farhad Abad,dasht farhad,BAD_006,,rural,,yes,male,50_59,,discrete,protract economic,0,0,1,0,0,1,0,,,,,70,800,,,,,,,,,,,,,,,,,,,70,800,,,,,,20,3,60,20,tajik pashtun uzbek,0,0,0,0,0,0,0,1,0,1,0,1,0,,yes,no,,,,,,,,,,,,yes,yes,yes,media text health_worker,0,0,0,1,1,1,0,0,,handwash distancing,1,1,0,0,0,0,0,0,0,,pharm_hosp isolate,0,0,1,0,0,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,no_further,,,,open,0,0,0,1,0,,,,yes,yes,yes,no,,yes,surface,,distance busy,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,no_none,travel,0,1,0,0,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,angry,0,1,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,good,yes_decrease,yes_decrease,yes,,,,,,,,,,yes,,,,,,,,,,positive,yes,comm_leader,,yes,yes,private,,no,no,,,,,,,,,,no,,,,,,,,,mud,,own_document,,written,tenure_doc,,3,tools,,yes,yes,,unskilled,,part_stop,borrow_debt,0,0,1,0,0,0,0,0,0,,no_none,,,,,,,,,,,,,,,market_inside,0,1,0,0,0,0,0,,no,no,,,,,,,,,,,,,,yes,info_comm,,,yes,yes,home_school,0,1,0,0,0,,,,,,,,99399415,e5c00f3e-bb08-44f9-93fe-a6049a6e69d5,2020-05-18T11:42:34,,119
2020-05-18T14:55:56.682+04:30,2020-05-18T15:33:49.545+04:30,43969,3.59775E+14,2020-05-18T15:33:49.545+04:30,,8,badakhshan,baharak_badakhshan,Dasht Faragh,dasht fargh,BAD_007,,rural,,yes,male,60_69,,mixed,prolong economic,0,1,0,0,0,1,0,,,65,400,,,,,,,,,,,,,,,,,,,,,65,450,,,260,2500,,20,6,70,12,pashtun tajik uzbek,0,0,0,0,0,0,0,1,0,1,0,1,0,,yes,no,,,,,,,,,,,,yes,yes,yes,media text un_ngo health_worker,0,0,1,1,1,1,0,0,,handwash isolate no_gather,1,0,1,0,0,0,1,0,0,,pharm_hosp isolate,0,0,1,0,0,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,yes,2,no,yes,private,1,0,0,0,0,,,,no,yes,yes,yes,,yes,pipe,,distance busy,1,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,no_further,,,,,,,,,yes,yes,yes,,,,,,,,,,,cost_transport cost_drugs,0,1,0,1,0,0,0,0,0,0,0,,yes,returnee chronic_ill females males,1,1,0,0,1,0,1,0,0,0,,angry,0,1,0,0,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty,0,1,0,0,0,0,0,0,,,very_poor,yes_decrease,yes_decrease,yes,,,,,,,,,,yes,,,,,,,,,,positive,yes,comm_leader,,yes,yes,private,,yes,no,,,,,,,,,,no,,,,,,,,,mud,,own_no_document,,verbal,,,3,rent_isolate,,,yes,,unskilled,,part_stop,borrow_debt,0,0,1,0,0,0,0,0,0,,yes,yes,food,1,0,0,0,0,0,0,0,0,0,0,,market_inside,0,1,0,0,0,0,0,,no,no,,,,,,,,,,,,,,yes,info_comm,,,yes,yes,other_facility home_school,1,1,0,0,0,,,,,,,,99399432,5d9f5434-fbce-4dc9-96fe-e64b182485ae,2020-05-18T11:42:36,,120
2020-06-03T15:10:50.332+04:30,2020-06-03T15:50:51.433+04:30,43985,3.55269E+14,2020-06-03T15:50:51.433+04:30,,3,badakhshan,faiz_abad_badakhshan,Nahia shashm,dasht-e-khusht,BAD_008,,suburb,,yes,male,50_59,,mixed,protract idp prolong returnee,1,1,1,0,1,0,0,55,380,370,2500,180,1200,40,badakhshan,faiz_abad_badakhshan,,,10,60,iran,,fars,0,,,,,,,,,,,,90,650,,30,60,70,50,tajik uzbek,0,0,0,0,0,0,0,0,0,1,0,1,0,,yes,no,,,,,,,,,,,,yes,yes,yes,media text comm_leader,0,1,0,1,1,0,0,0,,handwash distancing no_gather masks_ifsick,1,1,0,1,0,0,1,0,0,,pharm_hosp isolate,0,0,1,0,0,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,yes,1,all,yes,private,1,0,0,0,0,,,,yes,yes,yes,yes,,yes,trucking,,low_capacity busy,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,yes,yes,,,,,,,,,,,none,0,0,0,0,0,0,0,0,0,0,1,,no,,,,,,,,,,,,,physical_ache,0,0,0,1,0,0,0,,no,,,,,,,,,,,,,,,,,,,more_poverty comm_violence,0,1,0,1,0,0,0,0,,,poor_qual,yes_increase,yes_decrease,yes,,,,,,,,,,yes,,,,,,,,,,positive,no,comm_leader,,yes,yes,private,,yes,no,,,,,,,,,,yes,,host_comm,0,0,1,0,,,mud,,own_document,,written,deed,,3,rent_isolate,,,yes,,unskilled,,full_stop,begging borrow_debt,0,0,1,0,0,0,1,0,0,,yes,yes,food,1,0,0,0,0,0,0,0,0,0,0,,market_inside market_outsided,0,1,1,0,0,0,0,,yes,no,,,,,,,,,,,,,,yes,food_dist,,,yes,yes,no,0,0,0,1,0,,,,,,,,102623288,3f652fb8-b767-430c-9c5f-890c99f6a6fe,2020-06-03T13:44:38,,861
2020-05-18T12:03:27.998+04:30,2020-05-18T12:47:44.980+04:30,43969,3.59775E+14,2020-05-18T12:47:44.980+04:30,,8,badakhshan,faiz_abad_badakhshan,District 2,dawlat abad,BAD_009,,suburb,,yes,male,40_49,,mixed,protract economic,0,0,1,0,0,1,0,,,,,20,200,,,,,,,,,,,,,,,,,,,20,200,,,25,230,,3,1,12,6,tajik,0,0,0,0,0,0,0,0,0,1,0,0,0,,yes,no,,,,,,,,,,,,yes,yes,yes,health_worker media,0,0,0,1,0,1,0,0,,handwash isolate,1,0,1,0,0,0,0,0,0,,pharm_hosp,0,0,0,0,0,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,yes,2,no,yes,private public,1,0,1,0,0,,buckets_hose,,yes,yes,yes,yes,no,yes,well_protect,,unpleasent busy,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,yes,yes,,,,,,,,,,,none,0,0,0,0,0,0,0,0,0,0,1,,no,,,,,,,,,,,,,angry physical_ache,0,1,0,1,0,0,0,,yes,clinical ngo,0,1,0,1,0,0,,yes,,,,,,,,,,more_insecure more_poverty,0,1,0,0,1,0,0,0,,,good,no_change,no_change,yes,,,,,,,,,,yes,,,,,,,,,,positive,yes,comm_leader,,yes,yes,government,,yes,no,,,,,,,,,,no,,,,,,,,,unfinished,,own_document,,verbal,,,3,rent_isolate,,,yes,,unskilled,,part_stop,borrow_debt spend_saving sell_asset,1,1,1,0,0,0,0,0,0,,yes,yes,food hygiene,1,0,1,0,0,0,0,0,0,0,0,,family market_inside,0,1,0,0,1,0,0,,no,yes,shelter,0,0,0,0,0,0,1,0,0,0,0,,yes,info_comm,,,yes,no,,,,,,,,,,,,,,99399394,c181afee-f4e2-445d-ad10-3d1694870be5,2020-05-18T11:42:31,,117
2020-06-03T16:06:01.166+04:30,2020-06-03T16:53:47.187+04:30,43985,3.55269E+14,2020-06-03T16:53:47.187+04:30,,3,badakhshan,baharak_badakhshan,Momen Abad,islam abad,BAD_010,,rural,,yes,male,18_29,,discrete,idp prolong protract,1,1,1,0,0,0,0,30,180,20,140,10,60,15,badakhshan,kohestan_badakhshan,,,,,,,,,,,,,,,,,,,,,,,15,12,20,6,tajik,0,0,0,0,0,0,0,0,0,1,0,0,0,,no,no,,,,,,,,,,,,yes,yes,yes,text fam_friend media,0,0,0,1,1,0,1,0,,handwash no_gather isolate,1,0,1,0,0,0,1,0,0,,speak_leader pharm_hosp,0,0,0,0,1,1,0,0,0,,none,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,yes,1,no,no,private,1,0,0,0,0,,,,yes,yes,yes,yes,,no_further,well_protect,,distance unpleasent,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,no_further,,,,,,,,,yes,yes,yes,,,,,,,,,,,cost_drugs,0,0,0,1,0,0,0,0,0,0,0,,no,,,,,,,,,,,,,none,0,0,0,0,0,1,0,,no,,,,,,,,,,,,,,,,,,,more_poverty comm_violence,0,1,0,1,0,0,0,0,,,good,no_change,no_change,yes,,,,,,,,,,yes,,,,,,,,,,positive,no,comm_leader,,yes,yes,private,,no,no,,,,,,,,,,no,,,,,,,,,mud,,own_document,,written,tenure_doc,,2,tent,,no,yes,,unskilled,,part_stop,borrow_debt sell_asset spend_saving,1,1,1,0,0,0,0,0,0,,no_further,yes,food,1,0,0,0,0,0,0,0,0,0,0,,market_inside market_outsided,0,1,1,0,0,0,0,,no,no,,,,,,,,,,,,,,no,,,,no_further,yes,no,0,0,0,1,0,,,,,,,,102623299,2a5f4567-e99b-42a0-960d-8edcc59d9474,2020-06-03T13:44:43,,862
