type,name,label,label::Dari,label::pash,hint::English,hint::Dari,hint::pash,required,relevant,read_only,appearance,constraint,constraint_message::English,constraint_message::Dari,constraint_message::pash,calculation,choice_filter,repeat_count
start,start,,,,,,,,,,,,,,,,,
end,end,,,,,,,,,,,,,,,,,
today,date,,,,,,,,,,,,,,,,,
audit,audit,,,,,,,,,,,,,,,,,
deviceid,deviceid,,,,,,,,,,,,,,,,,
integer,enumerator_id,Enumerator ID,?? ???? ?????  ,? ???? ?????? ???,,,,TRUE,,,,,,,,,,
select_one province_list,province,In which province is this settlement located?, ?? ???? ????? ??? ???? ??? ???? ?????? ?????,?? ??? ???? ????????? (ISET) ?? ??? ????? ?? ?????? ???? ,"Enter before you call the KI, using the KI information forms provided","??? ??????? ?? ??? ?? ???? ?? ??? ?????/???? ????? ? ?? ??????? ?? ???????/???? ????? ???? ???? ????",?? ???? ???? ??? ??? ?? ????? ???/???? ???????? ?? ??? ???? ?? ???? ??? ?? ??????? ??? ??? ???,TRUE,,,,,,,,,,
select_one district_list,district,In which district is this settlement located?, ?? ???? ??????? ??? ???? ??? ???? ?????? ?????,?? ??? ???? ????????? (ISET) ?? ???? ??????? ?? ?????? ???? ,"Enter before you call the KI, using the KI information forms provided","??? ??????? ?? ??? ?? ???? ?? ??? ?????/???? ????? ? ?? ??????? ?? ???????/???? ????? ???? ???? ????",?? ???? ???? ??? ??? ?? ????? ???/???? ???????? ?? ??? ???? ?? ???? ??? ?? ??????? ??? ??? ???,TRUE,,,,,,,,,province=${province},
text,village,In which village is this settlement located?, ?? ???? ???? ??? ???? ??? ???? ?????? ?????,?? ??? ???? ????????? (ISET) ?? ??? ??? ?? ?????? ???? ,"Enter before you call the KI, using the KI information forms provided","??? ??????? ?? ??? ?? ???? ?? ??? ?????/???? ????? ? ?? ??????? ?? ???????/???? ????? ???? ???? ????",?? ???? ???? ??? ??? ?? ????? ???/???? ???????? ?? ??? ???? ?? ???? ??? ?? ??????? ??? ??? ???,TRUE,,,,,,,,,district=${district},
text,settlement_name,What is the name of this settlement?,??? ??? ???? ??? ???? ?????,??? ??? ???? ????????? ??? ?? ???,"Enter before you call the KI, using the KI information forms provided","??? ??????? ?? ??? ?? ???? ?? ??? ?????/???? ????? ? ?? ??????? ?? ???????/???? ????? ???? ???? ????",?? ???? ???? ??? ??? ?? ????? ???/???? ???????? ?? ??? ???? ?? ???? ??? ?? ??????? ??? ??? ???,TRUE,,,,,,,,,,
