data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
Where is this settlement located?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Provincial capital
",34.79,33.82,47.22,17.78,64.44,40.91,36.67,6.54,0,2.27,36.36,26.51,100,0,95.35,0,53.33,20,41.67,73.53,68.83,34.43,46.15,9.38,45.24,6.78,12.5,1.37,16.67,31.25,26.67,16.07,88.06,48.57,75,75,0,0,0,0,0,0,0,0,1.85,9.09,0,0,0,0,0,66.67,0,0,0,29.63,33.33,14.29,21.43,0,100,0,0,95.35,0,0,0,0,0,100,0,0,0,0,75,9.09,0,62.5,0,75.76,0,85.25,0,0,100,73.21,0,0,0,0,0,11.11,0,46.15,0,36.36,0,0,0,14.29,0,0,0,0,0,0,0,33.33,0,0,76,0,0,0,0,0,13.79,0,12.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,100,55.56,0,0,0,0,0,0,66.67,0,0,0,0,0,0,28.12,0,0,0,88.06,56.67,0,0,0,75,100,0,0,0,0,0,38.35,28.12,35.2,33.56,33.21,53.41,34.97,34.63,35.09,33.97,37.93,26.25,0,0,68.91,35.48,29.33,NA,NA,NA
Rural area / village,27.99,20.22,19.1,28.89,2.22,26.14,15.33,70.09,53.66,26.14,54.55,15.66,0,100,0,36.36,6.67,0,37.5,20.59,2.6,11.48,1.28,65.62,30.95,67.8,0,79.45,55.56,12.5,46.67,41.07,2.99,27.14,0,0,6.67,89.47,100,100,100,0,0,0,20.37,0,71.43,0,0,33.33,100,16.67,100,100,100,20.37,0,0,14.29,0,0,100,100,0,22.22,100,100,0,0,0,0,100,0,0,0,0,0,18.75,75,18.18,100,1.64,7.69,0,0,7.14,0,20,9.09,23.08,25,22.22,33.33,1.28,100,0,75,83.33,33.33,57.14,75,100,100,100,100,100,50,66.67,100,66.67,0,75,80,50,100,100,34.48,100,0,62.5,100,0,68.75,100,100,100,100,100,100,100,100,100,100,33.33,50,100,0,80,100,0,11.11,0,0,33.33,0,0,100,16.67,100,50,50,100,100,0,15.62,71.43,100,100,2.99,21.67,100,57.14,0,0,0,0,0,0,100,100,26.23,31.25,26.92,31.14,28.86,17.05,25.87,28.34,27.19,30.13,21.38,44.25,0,100,0,27.54,31.33,NA,NA,NA
Suburb,21.53,33.09,27.08,11.11,10,7.95,12,18.69,34.15,55.68,9.09,24.1,0,0,2.33,27.27,13.33,5,0,5.88,10.39,13.93,52.56,15.62,0,25.42,0,19.18,5.56,12.5,20,37.5,7.46,21.43,25,25,93.33,0,0,0,0,0,0,0,66.67,90.91,7.14,0,0,66.67,0,16.67,0,0,0,25.93,16.67,28.57,7.14,100,0,0,0,2.33,33.33,0,0,0,100,0,0,0,0,0,25,0,0,0,0,6.06,0,8.2,23.08,0,0,17.86,12.5,0,0,0,75,22.22,0,52.56,0,63.64,25,16.67,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,51.72,0,0,37.5,0,75,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,22.22,0,0,0,0,0,0,16.67,0,50,50,0,0,0,56.25,14.29,0,0,7.46,20,0,28.57,100,25,0,100,0,0,0,0,21.44,21.35,22.14,19.72,22.23,13.64,16.78,22.26,22.87,17.95,23.79,17.99,100,0,0,20.7,27.33,NA,NA,NA
District capital,15.69,12.87,6.6,42.22,23.33,25,36,4.67,12.2,15.91,0,33.73,0,0,2.33,36.36,26.67,75,20.83,0,18.18,40.16,0,9.38,23.81,0,87.5,0,22.22,43.75,6.67,5.36,1.49,2.86,0,0,0,10.53,0,0,0,100,100,100,11.11,0,21.43,100,100,0,0,0,0,0,0,24.07,50,57.14,57.14,0,0,0,0,2.33,44.44,0,0,100,0,0,100,0,100,100,0,90.91,100,18.75,25,0,0,4.92,69.23,100,0,1.79,87.5,80,90.91,76.92,0,44.44,66.67,0,0,0,0,0,66.67,28.57,25,0,0,0,0,0,0,0,0,33.33,24,25,20,50,0,0,0,0,87.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,50,0,0,20,0,0,11.11,100,100,66.67,100,100,0,0,0,0,0,0,0,100,0,14.29,0,0,1.49,1.67,0,14.29,0,0,0,0,100,100,0,0,13.98,19.27,15.73,15.57,15.7,15.91,22.38,14.77,14.85,17.95,16.9,11.5,0,0,31.09,16.28,12,NA,NA,NA
"Is the population living in the settlement made up of only migrants (e.g. IDPs, returnees, refugees, etc), or is it sharing the same space with the host community?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population is mixed with migrants and host community,72.8,90.81,69.79,24.44,57.78,73.86,63.33,76.64,75.61,57.95,0,84.34,0,100,69.77,9.09,86.67,35,83.33,79.41,51.95,59.02,98.72,96.88,69.05,71.19,100,63.01,77.78,75,73.33,71.43,79.1,98.57,75,100,73.33,78.95,50,100,100,0,100,100,48.15,81.82,57.14,100,0,100,100,0,0,0,0,83.33,83.33,100,78.57,100,0,100,100,69.77,11.11,0,0,100,100,87.5,100,100,0,100,25,36.36,50,93.75,62.5,81.82,0,57.38,30.77,0,100,53.57,56.25,60,72.73,84.62,0,77.78,33.33,98.72,100,100,100,100,100,100,75,75,100,100,100,100,100,100,100,100,68,62.5,60,100,100,100,79.31,63.33,100,68.75,50,75,43.75,0,62.5,50,75,100,100,100,100,100,50,100,50,50,66.67,80,100,100,55.56,100,100,100,100,100,100,66.67,100,50,100,100,0,100,68.75,76.19,50,100,79.1,98.33,100,100,100,75,100,100,100,0,50,100,76.43,65.36,72.96,72.32,75.4,42.05,48.25,76.25,100,0,75.86,77.29,77.33,70.72,72.02,73.87,66,NA,NA,NA
Population is only migrants,27.2,9.19,30.21,75.56,42.22,26.14,36.67,23.36,24.39,42.05,100,15.66,100,0,30.23,90.91,13.33,65,16.67,20.59,48.05,40.98,1.28,3.12,30.95,28.81,0,36.99,22.22,25,26.67,28.57,20.9,1.43,25,0,26.67,21.05,50,0,0,100,0,0,51.85,18.18,42.86,0,100,0,0,100,100,100,100,16.67,16.67,0,21.43,0,100,0,0,30.23,88.89,100,100,0,0,12.5,0,0,100,0,75,63.64,50,6.25,37.5,18.18,100,42.62,69.23,100,0,46.43,43.75,40,27.27,15.38,100,22.22,66.67,1.28,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,32,37.5,40,0,0,0,20.69,36.67,0,31.25,50,25,56.25,100,37.5,50,25,0,0,0,0,0,50,0,50,50,33.33,20,0,0,44.44,0,0,0,0,0,0,33.33,0,50,0,0,100,0,31.25,23.81,50,0,20.9,1.67,0,0,0,25,0,0,0,100,50,0,23.57,34.64,27.04,27.68,24.6,57.95,51.75,23.75,0,100,24.14,22.71,22.67,29.28,27.98,26.13,34,NA,NA,NA
Which migrant populations are living in this site?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDP (displaced less than 6 months),60,69,61,0,39,42,61,76,66,81,0,83,0,0,60,0,13,0,92,91,32,57,53,89,50,83,88,62,67,56,33,0,70,71,25,75,53,74,50,100,100,0,100,100,78,82,86,100,100,67,100,0,0,0,0,85,67,57,93,100,0,0,0,60,0,0,0,0,50,0,0,0,100,0,0,0,0,88,100,91,100,30,46,50,0,70,25,50,91,54,0,22,67,53,67,100,100,100,67,86,100,100,75,67,100,100,100,100,0,67,64,25,40,50,0,0,90,77,88,88,83,50,81,0,38,75,50,0,0,0,0,0,50,33,50,50,100,80,0,100,56,0,100,33,100,100,0,33,0,100,50,0,0,0,0,0,0,0,70,75,100,29,100,25,100,0,100,0,100,100,61,58,59,62,63,27,61,60,62,54,83,72,67,61,57,58,77,NA,NA,NA
