"","data","Overall","north_east","north","west","capital","south_east","south","east","badakhshan","balkh_province","badghis","baghlan","bamyan_province","farah","faryab","ghor","ghazni_province","herat","helmand","jawzjan","kabul_province","kandahar_province","kunduz_province","kunar","khost","laghman","logar","nangarhar","nuristan","paktya","paktika","samangan","sar_e_pul_province","takhar","uruzgan","maidan_wardak","faiz_abad_badakhshan","baharak_badakhshan","yaftal_e_sufla","yawan","argo","kohestan_badakhshan","keshem","jorm","nahr_e_shahi","mazar_e_sharif","dehdadi","sholgareh","zari","balkh","chemtal","qala_e_naw","muqur_badghis","jawand","ab_kamari","pul_e_khumri","doshi","burka","baghlan_e_jadid","nahrin","bamyan","bala_buluk","qala_e_kah","maymana","feroz_koh","dawlatyar","shahrak","deh_yak","andar","ghazni","muqur_ghazni","giro","qarabagh","waghaz","hirat","injil","guzara","lashkargah","nahr_e_saraj","sheberghan","aqcha","kabul","bagrami","deh_sabz","paghman","kandahar","daman","maywand","arghandab","zheray","dand","panjwayi","spin_boldak","kunduz","chawkay","asad_abad","watapur","shigal","bar_kunar","dara_e_pech","sar_kani","marawara","narang","khas_kunar","nurgal","ghazi_abad","nari","dangam","chapa_dara","matun","mandozayi","gurbuz","tani","terezayi","qalandar","mehtarlam","qarghayi","pul_e_alam","surkh_rod","rodat","jalalabad","behsud","bati_kot","chaparhar","khogyani","achin","nazyan","dur_baba","deh_bala","kama","shinwar","pachir_wa_agam","wama","barg_e_matal","waygal","parun","kamdesh","mandol","nurgaram","gardez","shawak","sayed_karam","samkani","ahmadaba","dand_wa_patan","ziruk","sharan","mata_khan","urgun","barmal","surobi_paktika","zarghun_shahr","yosuf_khel","aybak","hazrat_e_sultan","dara_e_suf_e_bala","dara_e_suf_e_payin","sar_e_pul","taloqan","yangi_qala","bangi","baharak","tirinkot","maydan_shahr","nerkh","dawlatabad_balkh","karukh","muhmand_dara","duab","secure_tenure","insecure_tenure","service_inaccess","service_access","adequate_shelter","inadequate_shelter","less_5years","over_5years","mixed_popn","seperate_popn","recent_return","no_recent_return","suburb_location","rural_location","urban_location","small_site","large_site"
"1","location","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","prov_centre","34.79","33.82","47.22","17.78","64.44","40.91","36.67","6.54","0","2.27","36.36","26.51","100","0","95.35","0","53.33","20","41.67","73.53","68.83","34.43","46.15","9.38","45.24","6.78","12.5","1.37","16.67","31.25","26.67","16.07","88.06","48.57","75","75","0","0","0","0","0","0","0","0","1.85","9.09","0","0","0","0","0","66.67","0","0","0","29.63","33.33","14.29","21.43","0","100","0","0","95.35","0","0","0","0","0","100","0","0","0","0","75","9.09","0","62.5","0","75.76","0","85.25","0","0","100","73.21","0","0","0","0","0","11.11","0","46.15","0","36.36","0","0","0","11.11","0","0","0","0","0","0","33.33","0","0","76","0","0","0","0","0","13.79","0","12.5","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.67","0","0","100","55.56","0","0","0","0","0","0","66.67","0","0","0","0","0","0","28.12","0","0","0","88.06","56.67","0","0","0","75","100","0","0","0","0","0","38.35","28.12","35.2","33.56","33.21","53.41","34.97","34.63","35.09","33.97","37.93","26.25","0","0","68.91","35.48","29.33"
"3","rural","27.99","20.22","19.1","28.89","2.22","26.14","15.33","70.09","53.66","26.14","54.55","15.66","0","100","0","36.36","6.67","0","37.5","20.59","2.6","11.48","1.28","65.62","30.95","67.8","0","79.45","55.56","12.5","46.67","41.07","2.99","27.14","0","0","6.67","89.47","100","100","100","0","0","0","20.37","0","71.43","0","0","33.33","100","16.67","100","100","100","20.37","0","0","14.29","0","0","100","100","0","22.22","100","100","0","0","0","0","100","0","0","0","0","0","18.75","75","18.18","100","1.64","7.69","0","0","7.14","0","20","9.09","23.08","25","22.22","33.33","1.28","100","0","75","83.33","33.33","55.56","75","100","100","100","100","100","66.67","100","66.67","0","75","80","50","100","100","34.48","100","0","62.5","100","0","68.75","100","100","100","100","100","100","100","100","100","100","33.33","50","100","0","80","100","0","11.11","0","0","33.33","0","0","100","16.67","100","50","50","100","100","0","15.62","71.43","100","100","2.99","21.67","100","57.14","0","0","0","0","0","0","100","100","26.23","31.25","26.92","31.14","28.86","17.05","25.87","28.34","27.19","30.13","21.38","44.25","0","100","0","27.54","31.33"
"4","suburb","21.53","33.09","27.08","11.11","10","7.95","12","18.69","34.15","55.68","9.09","24.1","0","0","2.33","27.27","13.33","5","0","5.88","10.39","13.93","52.56","15.62","0","25.42","0","19.18","5.56","12.5","20","37.5","7.46","21.43","25","25","93.33","0","0","0","0","0","0","0","66.67","90.91","7.14","0","0","66.67","0","16.67","0","0","0","25.93","16.67","28.57","7.14","100","0","0","0","2.33","33.33","0","0","0","100","0","0","0","0","0","25","0","0","0","0","6.06","0","8.2","23.08","0","0","17.86","12.5","0","0","0","75","22.22","0","52.56","0","63.64","25","16.67","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.72","0","0","37.5","0","75","31.25","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","0","0","0","22.22","0","0","0","0","0","0","16.67","0","50","50","0","0","0","56.25","14.29","0","0","7.46","20","0","28.57","100","25","0","100","0","0","0","0","21.44","21.35","22.14","19.72","22.23","13.64","16.78","22.26","22.87","17.95","23.79","17.99","100","0","0","20.7","27.33"
"5","dist_centre","15.69","12.87","6.6","42.22","23.33","25","36","4.67","12.2","15.91","0","33.73","0","0","2.33","36.36","26.67","75","20.83","0","18.18","40.16","0","9.38","23.81","0","87.5","0","22.22","43.75","6.67","5.36","1.49","2.86","0","0","0","10.53","0","0","0","100","100","100","11.11","0","21.43","100","100","0","0","0","0","0","0","24.07","50","57.14","57.14","0","0","0","0","2.33","44.44","0","0","100","0","0","100","0","100","100","0","90.91","100","18.75","25","0","0","4.92","69.23","100","0","1.79","87.5","80","90.91","76.92","0","44.44","66.67","0","0","0","0","0","66.67","22.22","25","0","0","0","0","0","0","0","33.33","24","25","20","50","0","0","0","0","87.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","66.67","50","0","0","20","0","0","11.11","100","100","66.67","100","100","0","0","0","0","0","0","0","100","0","14.29","0","0","1.49","1.67","0","14.29","0","0","0","0","100","100","0","0","13.98","19.27","15.73","15.57","15.7","15.91","22.38","14.77","14.85","17.95","16.9","11.5","0","0","31.09","16.28","12"
"6","location_fs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","urban","50.48","46.69","53.82","60","87.78","65.91","72.67","11.21","12.2","18.18","36.36","60.24","100","0","97.67","36.36","80","95","62.5","73.53","87.01","74.59","46.15","18.75","69.05","6.78","100","1.37","38.89","75","33.33","21.43","89.55","51.43","75","75","0","10.53","0","0","0","100","100","100","12.96","9.09","21.43","100","100","0","0","66.67","0","0","0","53.7","83.33","71.43","78.57","0","100","0","0","97.67","44.44","0","0","100","0","100","100","0","100","100","75","100","100","81.25","25","75.76","0","90.16","69.23","100","100","75","87.5","80","90.91","76.92","0","55.56","66.67","46.15","0","36.36","0","0","66.67","33.33","25","0","0","0","0","0","33.33","0","33.33","100","25","20","50","0","0","13.79","0","100","0","0","25","0","0","0","0","0","0","0","0","0","0","0","66.67","50","0","66.67","20","0","100","66.67","100","100","66.67","100","100","0","66.67","0","0","0","0","0","100","28.12","14.29","0","0","89.55","58.33","0","14.29","0","75","100","0","100","100","0","0","52.33","47.4","50.93","49.13","48.91","69.32","57.34","49.4","49.94","51.92","54.83","37.76","0","0","100","51.76","41.33"
"8","rural","27.99","20.22","19.1","28.89","2.22","26.14","15.33","70.09","53.66","26.14","54.55","15.66","0","100","0","36.36","6.67","0","37.5","20.59","2.6","11.48","1.28","65.62","30.95","67.8","0","79.45","55.56","12.5","46.67","41.07","2.99","27.14","0","0","6.67","89.47","100","100","100","0","0","0","20.37","0","71.43","0","0","33.33","100","16.67","100","100","100","20.37","0","0","14.29","0","0","100","100","0","22.22","100","100","0","0","0","0","100","0","0","0","0","0","18.75","75","18.18","100","1.64","7.69","0","0","7.14","0","20","9.09","23.08","25","22.22","33.33","1.28","100","0","75","83.33","33.33","55.56","75","100","100","100","100","100","66.67","100","66.67","0","75","80","50","100","100","34.48","100","0","62.5","100","0","68.75","100","100","100","100","100","100","100","100","100","100","33.33","50","100","0","80","100","0","11.11","0","0","33.33","0","0","100","16.67","100","50","50","100","100","0","15.62","71.43","100","100","2.99","21.67","100","57.14","0","0","0","0","0","0","100","100","26.23","31.25","26.92","31.14","28.86","17.05","25.87","28.34","27.19","30.13","21.38","44.25","0","100","0","27.54","31.33"
"9","suburb","21.53","33.09","27.08","11.11","10","7.95","12","18.69","34.15","55.68","9.09","24.1","0","0","2.33","27.27","13.33","5","0","5.88","10.39","13.93","52.56","15.62","0","25.42","0","19.18","5.56","12.5","20","37.5","7.46","21.43","25","25","93.33","0","0","0","0","0","0","0","66.67","90.91","7.14","0","0","66.67","0","16.67","0","0","0","25.93","16.67","28.57","7.14","100","0","0","0","2.33","33.33","0","0","0","100","0","0","0","0","0","25","0","0","0","0","6.06","0","8.2","23.08","0","0","17.86","12.5","0","0","0","75","22.22","0","52.56","0","63.64","25","16.67","0","11.11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.72","0","0","37.5","0","75","31.25","0","0","0","0","0","0","0","0","0","0","0","0","0","33.33","0","0","0","22.22","0","0","0","0","0","0","16.67","0","50","50","0","0","0","56.25","14.29","0","0","7.46","20","0","28.57","100","25","0","100","0","0","0","0","21.44","21.35","22.14","19.72","22.23","13.64","16.78","22.26","22.87","17.95","23.79","17.99","100","0","0","20.7","27.33"
"10","total_sites","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
