data,Overall
access_toservice,
service_inaccess,74.8
service_access,25.2
tenure_sec_insec,
secure_tenure,66.17
insecure_tenure,33.83
shelter_condition,
adequate_shelter,92.31
inadequate_shelter,7.69
over_less_5years,
over_5years,87.51
less_5years,12.49
mixed_sep_popn,
mixed_popn,72.8
seperate_popn,27.2
return_status,
no_recent_return,53.9
recent_return,46.1
location_type,
urban_location,50.48
rural_location,27.99
suburb_location,21.53
site_type,
small_site,86.9
large_site,13.1
region,
west,42.98
east,18.66
north_east,16.91
north,11.6
south_east,6.36
south,2.44
capital,1.05
province,
kandahar_province,10.64
balkh_province,7.67
baghlan,7.24
kunduz_province,6.8
kabul_province,6.71
nangarhar,6.36
takhar,6.1
sar_e_pul_province,5.84
kunar,5.58
laghman,5.14
samangan,4.88
faryab,3.75
khost,3.66
badakhshan,3.57
jawzjan,2.96
helmand,2.09
herat,1.74
nuristan,1.57
paktya,1.39
ghazni_province,1.31
paktika,1.31
badghis,0.96
ghor,0.96
logar,0.7
maidan_wardak,0.35
uruzgan,0.35
farah,0.26
bamyan_province,0.09
district,
kunduz,6.8
sar_e_pul,5.84
kabul,5.32
taloqan,5.23
kandahar,4.88
nahr_e_shahi,4.71
pul_e_khumri,4.71
maymana,3.75
sheberghan,2.88
aybak,2.79
qarghayi,2.62
mehtarlam,2.53
matun,2.18
hazrat_e_sultan,1.83
baharak_badakhshan,1.66
behsud,1.39
daman,1.39
lashkargah,1.39
surkh_rod,1.39
faiz_abad_badakhshan,1.31
baghlan_e_jadid,1.22
dehdadi,1.22
bagrami,1.13
zheray,1.13
arghandab,0.96
asad_abad,0.96
injil,0.96
mazar_e_sharif,0.96
maywand,0.87
dara_e_pech,0.78
feroz_koh,0.78
gardez,0.78
panjwayi,0.78
chaparhar,0.7
ghazni,0.7
mandozayi,0.7
nahr_e_saraj,0.7
pul_e_alam,0.7
bangi,0.61
burka,0.61
doshi,0.52
qala_e_naw,0.52
rodat,0.52
sharan,0.52
shigal,0.52
gurbuz,0.44
kamdesh,0.44
achin,0.35
dand,0.35
dur_baba,0.35
ghazi_abad,0.35
guzara,0.35
hirat,0.35
jalalabad,0.35
khogyani,0.35
marawara,0.35
narang,0.35
sar_kani,0.35
tirinkot,0.35
watapur,0.35
balkh,0.26
bar_kunar,0.26
chapa_dara,0.26
chawkay,0.26
khas_kunar,0.26
maydan_shahr,0.26
muqur_badghis,0.26
nari,0.26
parun,0.26
samkani,0.26
sholgareh,0.26
spin_boldak,0.26
wama,0.26
andar,0.17
bala_buluk,0.17
barg_e_matal,0.17
barmal,0.17
dara_e_suf_e_bala,0.17
deh_bala,0.17
deh_sabz,0.17
muhmand_dara,0.17
nahrin,0.17
nurgal,0.17
pachir_wa_agam,0.17
shinwar,0.17
tani,0.17
urgun,0.17
waygal,0.17
yaftal_e_sufla,0.17
yangi_qala,0.17
ab_kamari,0.09
ahmadaba,0.09
aqcha,0.09
argo,0.09
baharak,0.09
bamyan,0.09
bati_kot,0.09
chemtal,0.09
dand_wa_patan,0.09
dangam,0.09
dara_e_suf_e_payin,0.09
dawlatabad_balkh,0.09
dawlatyar,0.09
deh_yak,0.09
duab,0.09
giro,0.09
jawand,0.09
jorm,0.09
kama,0.09
karukh,0.09
keshem,0.09
kohestan_badakhshan,0.09
mandol,0.09
mata_khan,0.09
muqur_ghazni,0.09
nazyan,0.09
nerkh,0.09
nurgaram,0.09
paghman,0.09
qala_e_kah,0.09
qalandar,0.09
qarabagh,0.09
sayed_karam,0.09
shahrak,0.09
shawak,0.09
surobi_paktika,0.09
terezayi,0.09
waghaz,0.09
yawan,0.09
yosuf_khel,0.09
zarghun_shahr,0.09
zari,0.09
ziruk,0.09
location,
prov_centre,34.79
rural,27.99
suburb,21.53
dist_centre,15.69
handwash_location,
private,85
public_facility,4
public,30
open,15
other,0
relocation,
no,84.22
yes,15.78
location_fs,
urban,50.48
rural,27.99
suburb,21.53
total_sites,
Average,1
iset_population,
mixed,72.8
discrete,27.2
migrant_population,
idp,60
prolong,77
protract,75
refugee,3
returnee,55
economic,27
nomad,3
idp_discrete,
idp_discrete,0.27
prolong_discrete,
prolong_discrete,0.46
protract_discrete,
protract_discrete,0.46
refugee_discrete,
refugee_discrete,0
returnee_discrete,
returnee_discrete,0.22
economic_discrete,
economic_discrete,0.07
nomad_discrete,
nomad_discrete,0.01
idp_mixed,
idp_mixed,0.53
prolong_mixed,
prolong_mixed,0.72
protract_mixed,
protract_mixed,0.68
refugee_mixed,
refugee_mixed,0.03
returnee_mixed,
returnee_mixed,0.48
economic_mixed,
economic_mixed,0.22
nomad_mixed,
nomad_mixed,0.02
idp_hhs,
Average,104.28
idp_indvl,
Average,649.91
prolonged_hhs,
Average,116.9
prolonged_indvl,
Average,767
protracted_hhs,
Average,205.71
protracted_indvl,
Average,1338.15
idp_3mo_hhs,
Average,24.09
idp_3mo_hhs_prop,
idp_3mo_hhs_prop,0.48
idp_prov_origin,
baghlan,10.11
faryab,9.39
sar_e_pul,8.84
laghman,7.22
kunduz,6.5
helmand,5.78
takhar,5.6
nangarhar,5.23
balkh,4.87
kandahar,4.69
badakhshan,4.51
kunar,4.51
jawzjan,3.97
uruzgan,2.71
no_consensus,2.53
nuristan,2.17
paktika,1.81
samangan,1.62
logar,1.26
paktya,1.08
farah,0.72
kapisa,0.72
parwan,0.72
daykundi,0.54
khost,0.54
maidan_wardak,0.54
ghazni,0.36
ghor,0.36
nimroz,0.36
zabul,0.36
bamyan,0.18
kabul,0.18
idp_dist_origin,
no_consensus,9.21
dahana_e_ghori,4.87
pashtun_kot,3.79
alishang,2.89
alingar,2.53
shirin_tagab,2.53
sar_e_pul,2.35
sayad,2.17
baharak,1.81
chahar_darah,1.81
chemtal,1.81
sancharak,1.81
dasht_e_archi,1.62
musa_qala,1.62
dangam,1.44
khan_abad,1.26
khogyani,1.26
kohestanat,1.26
baghlan_e_jadid,1.08
dara_e_suf_e_bala,1.08
darzab,1.08
khas_uruzgan,1.08
panjwayi,1.08
pul_e_khumri,1.08
almar,0.9
aqcha,0.9
khwaja_ghar,0.9
qaisar,0.9
tala_wa_barfak,0.9
zari,0.9
bilcheragh,0.72
burka,0.72
char_bolak,0.72
imam_sahib,0.72
maruf,0.72
qush_tepa,0.72
shinwar,0.72
