district,nb_sites,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,iset_population_discrete,iset_population_mixed,location_urban,location_suburban,location_rural,idp_mixed,idp_discrete,prolong_mixed,prolong_discrete,protract_mixed,protract_discrete,refugee_mixed,refugee_discrete,returnee_mixed,returnee_discrete,economic_mixed,economic_discrete,nomad_mixed,nomad_discrete,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,relocate_plan_yes,relocate_plan_no,relocate_plan_dk,relocate_pushpull_1_label,relocate_pushpull_1_pct,relocate_pushpull_2_label,relocate_pushpull_2_pct,relocate_pushpull_3_label,relocate_pushpull_3_pct,five_years_yes,five_years_no,five_years_dk,idp_3mo_hhs,idp_prov_origin_1_label,idp_prov_origin_1_pct,idp_prov_origin_2_label,idp_prov_origin_2_pct,idp_prov_origin_3_label,idp_prov_origin_3_pct,returnee_3mo_hhs,returnee_origin_1_label,returnee_origin_1_pct,returnee_origin_2_label,returnee_origin_2_pct,returnee_origin_3_label,returnee_origin_3_pct,shelter_type_1_label,shelter_type_1_pct,shelter_type_2_label,shelter_type_2_pct,shelter_type_3_label,shelter_type_3_pct,tenure_insecure,hh_rooms,accom_1_label,accom_1_pct,accom_2_label,accom_2_pct,accom_3_label,accom_3_pct,host_relation_positive,host_relation_neutral,host_relation_negative,host_relation_prefer_not,eviction_threat_yes,eviction_threat_no,eviction_threat_dk,eviction_threat_local_auth,eviction_threat_gvt,eviction_threat_local_host_comm,eviction_threat_local_ot,comm_represent_yes,comm_represent_no,comm_represent_dk,relocation_yes,relocation_no,site_land_yes,site_land_no,site_land_dk,site_land_owner_gvt,site_land_owner_prv,site_land_owner_un,site_land_owner_common,site_land_owner_ot,water_distance_fs,water_source_fs,water_barrier_1_label,water_barrier_1_pct,water_barrier_2_label,water_barrier_2_pct,water_barrier_3_label,water_barrier_3_pct,health_distance_fs,health_satisfy_constraint_yes,health_satisfy_constraint_no,health_satisfy_constraint_dk,health_unsatisfy_constraint.crowded,health_unsatisfy_constraint.hours,health_unsatisfy_constraint.expensive,health_unsatisfy_constraint.drug_unavail,health_unsatisfy_constraint.staff_behave,health_unsatisfy_constraint.other,health_unsatisfy_constraint.dont_know,mhpss_aware_yes,mhpss_aware_no,mhpss_aware_dk,health_barrier_1_label,health_barrier_1_pct,health_barrier_2_label,health_barrier_2_pct,health_barrier_3_label,health_barrier_3_pct,safe_likert_verygood,safe_likert_good,safe_likert_neutral,safe_likert_poor,safe_likert_verypoor,move_free_m_yes,move_free_m_no,move_free_m_dk,move_why_m_1_label,move_why_m_1_pct,move_why_m_2_label,move_why_m_2_pct,move_why_m_3_label,move_why_m_3_pct,move_free_f_yes,move_free_f_no,move_free_f_dk,move_why_f_1_label,move_why_f_1_pct,move_why_f_2_label,move_why_f_2_pct,move_why_f_3_label,move_why_f_3_pct,livelihood_1_label,livelihood_1_pct,livelihood_2_label,livelihood_2_pct,livelihood_3_label,livelihood_3_pct,food_source_1_label,food_source_1_pct,food_source_2_label,food_source_2_pct,food_source_3_label,food_source_3_pct,vul_index_low,vul_index_moderate,vul_index_moderate_high,vul_index_high,covid_aware_yes,covid_aware_part,covid_aware_no,covid_concern_yes,covid_concern_no,covid_concern_dk,covid_info_1_label,covid_info_1_pct,covid_info_2_label,covid_info_2_pct,covid_info_3_label,covid_info_3_pct,covid_safeprac_1_label,covid_safeprac_1_pct,covid_safeprac_2_label,covid_safeprac_2_pct,covid_safeprac_3_label,covid_safeprac_3_pct,aid_govt_yes,aid_govt_no,aid_govt_dk,aid_services_1_label,aid_services_1_pct,aid_services_2_label,aid_services_2_pct,aid_services_3_label,aid_services_3_pct,vul_chronic_fs,soap_avail_yes,soap_avail_no,soap_avail_dk,using_public_facility,handwash_crowded_yes,handwash_crowded_no,handwash_crowded_dk,water_point_yes,water_point_no_further,water_point_no_none,tap_sanitize_all,tap_sanitize_some,tap_sanitize_no,tap_sanitize_dk,safety_change_increase,safety_change_decrease,safety_change_no,safety_change_dk,covid_coping_1_label,covid_coping_1_pct,covid_coping_2_label,covid_coping_2_pct,covid_coping_3_label,covid_coping_3_pct,mhpss_secondary_1_label,mhpss_secondary_1_pct,mhpss_secondary_2_label,mhpss_secondary_2_pct,mhpss_secondary_3_label,mhpss_secondary_3_pct,vul_sleeping_prop,covid_shelter_1_label,covid_shelter_1_pct,covid_shelter_2_label,covid_shelter_2_pct,covid_shelter_3_label,covid_shelter_3_pct,market_soldout_yes,market_soldout_no,market_soldout_dk,soldout_item_1_label,soldout_item_1_pct,soldout_item_2_label,soldout_item_2_pct,soldout_item_3_label,soldout_item_3_pct,work_change_fullstop,work_change_partstop,work_change_nostop,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know
ab_kamari,1,0,0,0,0,120,800,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,0,0,NaN,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Tents (emergency shelter),100,Makeshift Shelter,0,Transitional Shelter,0,100,1,Rent shelter,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,100,1,Waterpoints are too far,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of transport,100,Concern for physical safety,100,Long travel time,100,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Provided from family and friends in the area,100,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,"UN, NGOs or INGOs",100,Text message alerts,100,Healthcare workers,100,Self-isolate if experiencing symtoms,100,Avoid large crowds and gatherings,100,Wash hands frequently,0,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,NA,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Community violence,100,Increased gender-based violence,0,NaN,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,NaN,NaN,NaN,NaN,NaN
achin,4,65,470,310,2180,700,5050,0,0,800,6000,0,0,0,0,1900,12900,25,75,0,0,100,33.33,33.33,66.67,50,100,100,0,0,100,100,0,0,0,0,50,75,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,50,Nangarhar,100,Badakhshan,0,Badghis,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,3,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,25,75,0,0,0,100,0,100,0,0,25,75,100,0,0,0,100,0,0,0,25,0,Long line/wait to access waterpoint,100,Waterpoints are unsafe,25,Unpleasant colour/taste/smell of water,0,25,0,100,0,66.67,0,100,100,0,0,0,0,100,0,Cost of care/ treatment,75,Cost of medicines,75,Insufficient capacity of health centre,50,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),50,Farming (cash crop),50,Small business / sale of goods or services,0,Purchase in markets inside the settlement,75,Purchase in markets outside the settlement,25,Provided from family and friends in the area,25,0,50,50,0,100,0,0,100,0,0,Community or religious leaders,100,Government,75,"Media (TV, radio)",75,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,75,50,50,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,25,50,50,0,0,NA,NA,NA,75,25,0,0,0,100,0,NA,NA,NA,NA,Angry / aggressive behaviour,75,Dangerous/risky behaviours,75,Social withdrawal,25,Increased poverty/no income,100,Increased gender-based violence,75,Lack of access for NGOs to provide services,75,25,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,75,25,0,Food,100,Hand sanitizer and other hygiene materials,67,Cooking / kitchen materials,67,100,0,0,0,25,0,75,0
ahmadaba,1,50,155,25,85,0,0,0,0,30,90,0,0,0,0,10,50,0,100,100,0,0,100,NaN,100,NaN,0,0,0,0,100,NaN,0,0,0,0,100,100,0,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,16,Helmand,100,Badakhshan,0,Badghis,0,15,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,5,Staying in shelter for free WITH owner's consent,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,100,0,0,0,100,NA,NA,NA,NA,NA,0,0,Cost is prohibitive i.e. water trucking,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,0,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,100,Cost of care/ treatment,100,Insufficient capacity of health centre,100,Don't know where to go,0,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,100,Own production,100,0,100,0,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"UN, NGOs or INGOs",100,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,100,100,0,0,0,NA,NA,NA,100,0,0,0,0,0,100,0,0,0,100,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased health issues,100,Community violence,100,0,Provision of tents to accommodate sick persons inside the site,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,0,100,0,0,0,100,0,0,0
andar,2,70,420,60,360,0,0,0,0,0,0,0,0,0,0,970,5820,0,100,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,50,50,0,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,Land dispute forced them off land / shelter,0,100,0,0,20,Badakhshan,0,Badghis,0,Baghlan,0,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,3,Own shelter WITHOUT documentation,50,Rent shelter,50,Own shelter WITH documentation,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,50,50,0,50,50,100,0,0,0,100,0,0,0,0,0,No barriers,100,Long line/wait to access waterpoint,0,Unpleasant colour/taste/smell of water,0,50,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of medicines,100,Insufficient capacity of health centre,100,Don't know where to go,0,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,50,0,50,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),50,Farming (cash crop),50,Small business / sale of goods or services,0,Purchase in markets outside the settlement,100,Purchase in markets inside the settlement,50,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,Community or religious leaders,50,"Media (TV, radio)",50,Family and friends,50,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,100,50,50,0,50,0,100,0,100,0,0,0,0,0,100,100,0,0,0,Social withdrawal,100,Angry / aggressive behaviour,0,Dangerous/risky behaviours,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Provision of tents to accommodate sick persons inside the site,50,Relocation of unsick family members to other relatives,50,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,50,50,0,Food,100,Cooking / kitchen materials,100,Soap,0,50,50,0,0,0,0,100,0
aqcha,1,160,1120,120,840,130,900,0,0,520,3640,0,0,0,0,0,0,100,0,0,0,100,NaN,100,NaN,100,NaN,100,0,0,NaN,100,0,0,0,0,100,100,100,0,100,100,0,0,No work opportunities available here,100,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,100,0,0,160,Jawzjan,100,Badakhshan,0,Badghis,0,20,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,3,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,100,0,100,0,0,100,0,0,0,0,0,0,Long line/wait to access waterpoint,100,Unpleasant colour/taste/smell of water,0,Waterpoint has low capacity (runs out of water often),0,0,100,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100,0,0,No barriers,100,Don't know where to go,0,Cost of transport,0,0,100,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Small business / sale of goods or services,100,Unskilled daily labour (without contract),0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,100,0,0,100,0,0,100,0,0,Government,100,Community or religious leaders,100,"Media (TV, radio)",100,Wash hands frequently,100,Self-isolate if experiencing symtoms,100,Avoid large crowds and gatherings,100,0,100,0,NA,NA,NA,NA,NA,NA,100,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,100,0,0,0,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,0,Relocation of unsick family members to other relatives,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,100,0,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,0,100,0,0,100,0,0,0
arghandab,11,600,3010,755,4963,530,4315,0,0,208,1185,395,3720,0,0,1157,8885,27,73,91,0,9,87.5,75,100,100,60,20,0,0,77.78,50,36.36,0,0,0,90.91,100,63.64,0,81.82,9,91,0,No work opportunities available here,100,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,73,0,27,176,Uruzgan,38,Helmand,12,Zabul,12,90,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,27,4.545454545454546,Rent shelter,55,Own shelter WITH documentation,36,Staying in shelter for free WITH owner's consent,9,45,27,0,27,9,55,36,100,0,0,0,100,0,0,18,82,91,9,0,0,100,0,0,0,9,0.18181818181818182,Cost is prohibitive i.e. water trucking,70,Long line/wait to access waterpoint,40,Unpleasant colour/taste/smell of water,20,27,50,25,0,0,50,100,50,0,0,0,45,45,9,Cost of medicines,56,Concern for physical safety,56,Insufficient capacity of health centre,56,27,18,27,9,18,100,0,0,NA,NA,NA,NA,NA,NA,27,73,0,Socio-cultural barriers between settlement members and host community,86,Discrimination / harrassment from host community,71,Fear for Personal Safety,43,Unskilled daily labour (without contract),36,Farming (cash crop),36,Small business / sale of goods or services,9,Purchase in markets outside the settlement,90,Purchase in markets inside the settlement,80,Own production,70,9,55,36,0,82,18,0,100,0,0,"Media (TV, radio)",90,Text message alerts,90,Family and friends,90,Practice physical distancing,90,Wash hands frequently,80,Self-isolate if experiencing symtoms,60,55,36,9,Information on the coronavirus preventive measures at COMMUNITY level,67,Information on the coronavirus preventive measures at HOUSEHOLD level,17,Councelling for vulnerable residents,17,72.72727272727273,82,18,0,18.181818181818183,100,0,0,91,9,0,0,10,40,40,14,14,29,43,Social withdrawal,50,No unusual behavior,40,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",20,Increased poverty/no income,100,Increased health issues,75,Lack of access for NGOs to provide services,75,0,Provision of tents to accommodate sick persons inside the site,27,Shelter repair support to upgrade and repair settlement shelters,18,No preference for shelter aid,18,100,0,0,Food,100,Hand sanitizer and other hygiene materials,75,Soap,62,73,27,0,36.36,72.73,0,18.18,9.09
argo,1,100,500,120,700,0,0,0,0,60,200,0,0,0,0,280,800,0,100,0,0,100,100,NaN,100,NaN,0,0,0,0,100,NaN,0,0,0,0,100,100,0,0,100,100,0,0,No work opportunities available here,100,Better opportunity for jobs,100,Intimidation and harassment by host community/local authorities,0,100,0,0,0,NA,NA,NA,NA,NA,NA,0,Iran,100,Pakistan,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,100,2,Staying in shelter for free WITH owner's consent,100,Own shelter WITH documentation,0,Own shelter WITHOUT documentation,0,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,100,0,100,0,0,0,100,0,0,0,0,1,Long line/wait to access waterpoint,100,Waterpoint has low capacity (runs out of water often),100,Unpleasant colour/taste/smell of water,0,100,NA,NA,NA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,100,0,Cost of transport,100,Cost of medicines,100,Insufficient capacity of health centre,100,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets outside the settlement,100,NGO food distributions,0,Purchase in markets inside the settlement,0,0,0,100,0,0,100,0,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Government,0,None,100,Wash hands frequently,0,Practice physical distancing,0,100,0,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,100,0,100,0,0,NA,NA,NA,100,0,0,0,0,100,0,0,100,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,NA,NA,NA,NA,NA,NA,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,100,0,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,0,100,0,0,0,0,100,0
asad_abad,11,454,3351,734,5291,792,6108,11,84,613,5619,393,2652,1,7,1916,15273,0,100,36,0,0,100,NaN,100,NaN,100,NaN,18.18,0,90.91,0,100,NaN,9.09,0,100,100,100,18.18,90.91,9,91,0,No work opportunities available here,100,Better access to services where they are moving,100,Intimidation and harassment by host community/local authorities,0,100,0,0,52,Kunar,100,Badakhshan,0,Badghis,0,2,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,9,1.8181818181818181,Own shelter WITH documentation,91,Rent shelter,9,Own shelter WITHOUT documentation,0,91,0,0,9,9,82,9,0,0,100,0,100,0,0,9,91,100,0,0,0,100,0,0,0,18,0.09090909090909091,Long line/wait to access waterpoint,71,Waterpoints are too far,29,Unpleasant colour/taste/smell of water,14,64,73,27,0,50,75,50,75,25,0,0,9,82,9,Cost of transport,57,Cost of medicines,43,Insufficient capacity of health centre,43,91,0,9,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),82,Small business / sale of goods or services,18,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,29,Own production,14,9,45,27,18,100,0,0,100,0,0,"Media (TV, radio)",100,Government,71,Text message alerts,71,Wash hands frequently,100,Practice physical distancing,71,Self-isolate if experiencing symtoms,43,9,82,9,Food distribution,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Information on the coronavirus preventive measures at COMMUNITY level,0,27.27272727272727,64,27,9,54.54545454545454,17,83,0,82,18,0,0,0,89,11,0,0,100,0,Social withdrawal,100,Dangerous/risky behaviours,43,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",14,Increased gender-based violence,86,Increased poverty/no income,57,Increased health issues,43,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,82,Relocation of unsick family members to other relatives,9,Renting of hotel/hostel to isolate sick individuals for 14 days,9,27,73,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,100,45,55,0,0,81.82,0,18.18,0
aybak,32,0,0,1570,8513,1307,7495,0,0,0,0,0,0,0,0,4220,27630,31,69,28,0,16,0,0,57.14,25,25,30.76923076923077,0,0,0,0,0,0,0,0,0,62.5,43.75,0,0,9,91,0,Better access to services where they are moving,67,Moving to be with family / friends,33,Intimidation and harassment by host community/local authorities,0,75,25,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),91,Makeshift Shelter,3,Permanent shelter (brick),3,22,2.625,Own shelter WITH documentation,69,Own shelter WITHOUT documentation,28,Staying in shelter for free WITH owner's consent,3,91,3,6,0,0,100,0,NaN,NaN,NaN,NaN,72,28,0,19,81,97,3,0,35,65,0,0,0,12,0.5,Unpleasant colour/taste/smell of water,39,No barriers,39,Cost is prohibitive i.e. water trucking,23,72,61,35,3,45.45,45.45,100,72.73,63.64,0,0,3,91,6,Cost of medicines,75,Cost of transport,56,Cost of care/ treatment,56,78,6,0,3,12,100,0,0,NA,NA,NA,NA,NA,NA,97,3,0,Socio-cultural barriers between settlement members and host community,100,Discrimination / harrassment from host community,0,Government restrictions related to coronavirus,0,Small business / sale of goods or services,34,Unskilled daily labour (without contract),28,Farming (cash crop),22,Purchase in markets inside the settlement,88,Purchase in markets outside the settlement,62,Own production,44,0,31,69,0,94,6,0,94,6,0,"Media (TV, radio)",97,Text message alerts,86,Family and friends,86,Wash hands frequently,81,Self-isolate if experiencing symtoms,78,Avoid large crowds and gatherings,62,12,88,0,Information on the coronavirus preventive measures at HOUSEHOLD level,100,Information on the coronavirus preventive measures at COMMUNITY level,0,Councelling for vulnerable residents,0,81.25,88,9,3,0,NA,NA,NA,69,19,12,14,0,86,0,100,0,0,0,No unusual behavior,91,Social withdrawal,9,Angry / aggressive behaviour,6,Increased poverty/no income,93,Increased insecurity,17,Community violence,13,45.16129032258064,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,88,Relocation of unsick family members to other relatives,6,Shelter repair support to upgrade and repair settlement shelters,3,25,75,0,Food,100,Fuel / Heating materials,62,Hand sanitizer and other hygiene materials,25,19,75,6,46.15,34.62,0,30.77,0
baghlan_e_jadid,14,1856,10340,905,6330,1370,9095,300,800,1675,9640,850,6130,0,0,5758,32350,21,79,79,0,14,90.91,75,100,100,91.67,66.66666666666666,7.14,0,91.67,66.67,50,0,0,0,92.86,100,92.86,7.14,92.86,43,57,0,No work opportunities available here,100,Better opportunity for jobs,60,Land dispute forced them off land / shelter,40,93,7,0,367,Baghlan,80,Samangan,10,Badakhshan,0,191,Pakistan,77,Iran,15,Tajikistan,0,Permanent shelter (mud),86,Transitional Shelter,7,Damaged House,7,36,1.9285714285714286,Rent shelter,57,Own shelter WITH documentation,21,Staying in shelter for free WITH owner's consent,14,86,14,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,57,43,100,0,0,36,64,0,0,0,21,0.07142857142857142,Waterpoint has low capacity (runs out of water often),90,Long line/wait to access waterpoint,80,Waterpoints are too far,40,50,0,100,0,100,0,100,100,66.67,0,0,7,93,0,Cost of medicines,100,Cost of transport,82,Cost of care/ treatment,64,0,50,7,29,14,86,14,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,86,14,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets outside the settlement,64,Purchase in markets inside the settlement,55,Own production,55,0,21,79,0,100,0,0,100,0,0,"Media (TV, radio)",91,Text message alerts,91,Community or religious leaders,55,Avoid large crowds and gatherings,91,Wash hands frequently,82,Practice physical distancing,55,50,50,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,57.14285714285714,100,0,0,0,NA,NA,NA,79,0,21,0,0,100,0,38,15,46,0,No unusual behavior,73,Angry / aggressive behaviour,27,Social withdrawal,0,Increased poverty/no income,100,Lack of access for NGOs to provide services,55,Increased gender-based violence,36,91.66666666666666,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,50,Relocation of unsick family members to other relatives,43,Provision of tents to accommodate sick persons inside the site,0,92,8,0,Food,100,Hand sanitizer and other hygiene materials,44,Soap,0,29,71,0,61.54,30.77,0,30.77,0
